Term,Meaning_of_term,Dialect type,Location_Recognition_question,Cultural_Interpretation_question,Contextual_Usage_question,Fill_in_Blank_question,True_False_question,Meaning_question
ابو راس,الشخص الي اكبر مافيه راسه,Central,"المهمة: حدد أين يُستخدم المصطلح 'أبو راس' بشكل أكثر شيوعاً.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'أبو راس' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) حائل
د) الدمام
الإجابة الصحيحة: أ","المهمة: فسر المعنى الثقافي للعبارة.
السؤال: ماذا تعني العبارة 'أبو راس' في الثقافة السعودية؟
الخيارات:
أ) تعبر عن الاحترام للشخص الكبير في السن
ب) تشير إلى شخصيات بارزة ومعروفة
ج) تدل على القوة والهيبة
د) تعبر عن المحبة بين الأصدقاء
الإجابة الصحيحة: أ","المهمة: حدد الجملة المناسبة للعبارة 'أبو راس'.
السؤال: أي الجمل التالية يمكن استخدامها في سياق 'أبو راس'؟
الخيارات:
أ) هذا الشاب لديه آراء قوية.
ب) أبو راس هو من أخذ القرار النهائي.
ج) يحب اللعب مع أصدقائه.
د) هو شخص متواضع.
الإجابة الصحيحة: ب","المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: يعتبر 'أبو راس' لقب يُطلق على ____ في اللهجة السعودية.
الخيارات:
أ) الكبار في السن
ب) القائد
ج) الصغار
د) الأصدقاء
الإجابة الصحيحة: أ","المهمة: حدد إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'أبو راس' تشير إلى الشخص الذي يعتبر زعيم في مجتمعه.
الخيارات:
أ) صحيح
ب) خاطئ
الإجابة الصحيحة: ب","المهمة: حدد المعنى الصحيح للعبارة 'أبو راس'.
السؤال: ما معنى كلمة 'أبو راس' في اللهجة السعودية؟
الخيارات:
أ) الشخص الذي يملك الكثير من المال
ب) الشخص الكبير في السن
ج) الشخص الذي يملك رأس كبير
د) الشخص الذي يعتبر زعيم في مجتمعه
الإجابة الصحيحة: ب"
ابو كلب,تطلق على الشيئ الرديء او الشيء السيء,Central,"المهمة: حدد الموقع الذي يُستخدم فيه المصطلح أكثر.
السؤال: في أي مدينة سعودية يتم استخدام عبارة 'ابو كلب' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) حائل
د) الدوادمي
الإجابة الصحيحة: أ","المهمة: اشرح كيف يعكس استخدام عبارة 'ابو كلب' الثقافة المحلية.
السؤال: ماذا تعني عبارة 'ابو كلب' في الثقافة السعودية؟
الخيارات:
أ) تعني الاحترام
ب) تعني التهكم والسخرية
ج) تعني الجدية
د) تعني السعادة
الإجابة الصحيحة: ب","المهمة: اختر السياق المناسب لاستخدام عبارة 'ابو كلب'.
السؤال: في أي سياق يمكن استخدام عبارة 'ابو كلب'؟
الخيارات:
أ) عند الحديث عن سيارة جديدة
ب) عند وصف شيء قديم وغير جيد
ج) عند وصف شيء مفيد
د) عند مدح شيء
الإجابة الصحيحة: ب","المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: تستخدم عبارة 'ابو كلب' لوصف ___.
الخيارات:
أ) شيئ جميل
ب) شيئ فاخر
ج) شيئ رديء
د) شيئ عادي
الإجابة الصحيحة: ج","المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'ابو كلب' تعني شيئ جميل.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة: ب","المهمة: حدد المعنى الصحيح لعبارة 'ابو كلب'.
السؤال: ما هو المعنى المقصود من عبارة 'ابو كلب'؟
الخيارات:
أ) شيئ جميل
ب) شيئ رديء
ج) شيئ عادي
د) شيئ مميز
الإجابة الصحيحة: ب"
اَبُوكِيه,تستخدم كرد استهزائي ازدرائي لمن لا يعجبك حديثه او لمن كان كلامه سفيهاً واحياناً لمن كان واثقاً زيادةً عن اللزوم,Central,"المهمة: حدد أي مناطق السعودية يُستخدم فيها المصطلح 'اَبُوكِيه' بشكل أكبر.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'اَبُوكِيه' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) مكة
ج) جدة
د) حائل
الإجابة الصحيحة: أ","المهمة: اشرح كيفية استخدام عبارة 'اَبُوكِيه' في الثقافة السعودية.
السؤال: كيف تُستخدم عبارة 'اَبُوكِيه' في اللهجة السعودية؟
الخيارات:
أ) تعبير عن الفرح والسرور
ب) رد يُظهر عدم الاحترام لشخص يتحدث بتفاخر
ج) يستخدم في حالات الشكر والتقدير
د) تعبير عن الاستنكار للأمور الجادة
الإجابة الصحيحة: ب","المهمة: اختر الجملة الصحيحة التي تحتوي على عبارة 'اَبُوكِيه'.
السؤال: أي من الجمل التالية يُظهر استخدام العبارة 'اَبُوكِيه' بشكل صحيح؟
الخيارات:
أ) إنني معجب بشجاعتك، أبُوكِيه.
ب) صديقي دائماً يتحدث عن إنجازاته، أبُوكِيه.
ج) أحب الذهاب إلى البحر، أبُوكِيه.
د) الأجواء في الرياض جميلة، أبُوكِيه.
الإجابة الصحيحة: ب","المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إحدى العبارات التي يستخدمها الناس في السعوديه مثل 'اَبُوكِيه' تشير إلى ___.
الخيارات:
أ) إعجاب
ب) استهزاء
ج) احترام
د) تفاؤل
الإجابة الصحيحة: ب","المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: العبارة 'اَبُوكِيه' تستخدم للتعبير عن إعجابك بشخص.
الخيارات:
أ) صحيح
ب) خاطئ
الإجابة الصحيحة: ب","المهمة: حدد المعنى الصحيح للعبارة 'اَبُوكِيه'.
السؤال: ما المعنى الذي تشير إليه العبارة 'اَبُوكِيه'؟
الخيارات:
أ) تعبير إيجابي عن الإعجاب
ب) رد استهزائي لشخص غير مقبول حديثه
ج) عبارة تشير إلى الفخر
د) تعبير عن التفاؤل
الإجابة الصحيحة: ب"
اخصرك منه,اخصرك منه بمعنى لا تعره اهتماام او لا تتوجه بالحديث اليه,Western,"المهمة: أين يُستخدم المصطلح 'اخصرك منه' بشكل أكثر شيوعاً؟
السؤال: في أي منطقة من المملكة العربية السعودية يستخدم الناس عبارة 'اخصرك منه'؟
الخيارات:
أ) مكة المكرمة
ب) الرياض
ج) جدة
د) المدينة المنورة
الإجابة الصحيحة: أ","المهمة: فسر الاستخدام الثقافي للعبارة.
السؤال: لماذا يستخدم الناس في اللهجة السعودية عبارة 'اخصرك منه'؟
الخيارات:
أ) للتعبير عن الاحترام.
ب) للتقليل من اهتمامهم بالشخص.
ج) لزيادة العلاقة.
د) لتشجيع شخص ما.
الإجابة الصحيحة: ب","المهمة: اختر الجملة التي تستخدم فيها العبارة بشكل صحيح.
السؤال: أي من الجمل التالية تحتوي على استخدام صحيح لعبارة 'اخصرك منه'؟
الخيارات:
أ) أنا اخصرك منه لانه صديقي.
ب) يا رجال اخصرك منه.
ج) اخصرك منه، وأكثر من الأصدقاء.
د) أمضيت يومي معك، اخصرك منه.
الإجابة الصحيحة: ب","المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: عندما أقول 'اخصرك منه' يعني ___.
الخيارات:
أ) أهتم به.
ب) لا أهتم به.
ج) أتحدث إليه.
د) أتركه.
الإجابة الصحيحة: ب","المهمة: اقرأ العبارة وحدد إذا كانت صحيحة أم خاطئة.
السؤال: عبارة 'اخصرك منه' تعني أنك تهتم بالشخص.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة: ب","المهمة: حدد المعنى الصحيح للعبارة.
السؤال: ما هو معنى عبارة 'اخصرك منه'؟
الخيارات:
أ) أعتني به كثيرًا.
ب) لا تعره اهتمامًا.
ج) أريد الحديث معه.
د) أعتبره صديقًا.
الإجابة الصحيحة: ب"
ادقك جمع,اضربك بكوعي,Central,"المهمة: حدد أين يُستخدم المصطلح بشكل أكثر شيوعاً.
السؤال: أي منطقة سعودية تستخدم المصطلح 'ادقك جمع' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) أبها
الإجابة الصحيحة: أ","المهمة: فسر معنى العبارة في السياق الثقافي.
السؤال: ما الحالة الاجتماعية التي قد تُستخدم فيها عبارة 'ادقك جمع' في الثقافة السعودية؟
الخيارات:
أ) بين الأصدقاء
ب) في الاجتماعات الرسمية
ج) خلال الاحتفالات العائلية
د) في العمل
الإجابة الصحيحة: أ","المهمة: حدد الاستخدام السياقي للعبارة.
السؤال: في أي موقف يُستخدم المصطلح 'ادقك جمع' عادةً؟
الخيارات:
أ) في مناسبة احتفالية
ب) في حديث غير جدّي
ج) عند الشجار
د) في الدروس التعليمية
الإجابة الصحيحة: ج","المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما أقول 'محمد اسكت لا _____ جمع'، ماذا تعني الكلمة المفقودة؟
الخيارات:
أ) أدخلك
ب) أدقك
ج) أضربك
د) أشتري لك
الإجابة الصحيحة: ب","المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: العبارة 'ادقك جمع' تعني 'أضربك بيدي'؟
الخيارات:
أ) صحيح
ب) خاطئ
الإجابة الصحيحة: ب","المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: ما معنى عبارة ""ادقك جمع""؟ 
الخيارات: 
A) أضربك بكوعي 
B) أساعدك في العمل 
C) أقدّم لك الطعام 
D) أتركك في حالتك 
الإجابة الصحيحة: A (أضربك بكوعي) 
"
اذلف,بمعنى اغرب عن وجهي وغالبا ما تقال عندما يضجر الشخص من كلام شخصا آخر له وأيضا هناك كلمات بنفس المعنى مثل: انقلع,Central,"المهمة: حدد المنطقة السعودية التي تُستخدم فيها كلمة 'اذلف' بشكل شائع.
السؤال: في أي منطقة سعودية تُستخدم كلمة 'اذلف' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) الرياض
الإجابة الصحيحة: أ","المهمة: اشرح الدلالة الثقافية لكلمة 'اذلف'.
السؤال: ما الدلالة الثقافية لكلمة 'اذلف' في اللهجة السعودية؟
الخيارات:
أ) تعبير عن الود
ب) تعبير عن النفور
ج) تعبير عن الحماسة
د) تعبير عن الدعم
الإجابة الصحيحة: ب","المهمة: اختر الجملة التي تستخدم فيها كلمة 'اذلف' بشكل صحيح.
السؤال: أي من الجمل التالية تحتوي على استخدام صحيح لكلمة 'اذلف'؟
الخيارات:
أ) أريد أن اذلف إلى البحر.
ب) يفضل أن اذلف عن الموضوع.
ج) إذا كنت تحب، اذلف إلى حديقة.
د) هل تريد أن اذلف معي في الحفلة؟
الإجابة الصحيحة: ب","المهمة: أكمل الجملة باستخدام الكلمة المناسبة.
السؤال: عندما يضجر الشخص من حديث شخص آخر، قد يقول له: '____________ عني'.
الخيارات:
أ) اجلس
ب) اذلف
ج) اقبل
د) اسمع
الإجابة الصحيحة: ب","المهمة: تأكد مما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: كلمة 'اذلف' تُستخدم للتعبير عن الرغبة في أن يبقى الشخص معك.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة: ب","المهمة: حدد المعنى الصحيح لكلمة 'اذلف'.
السؤال: ما هو المعنى المقصود من كلمة 'اذلف'؟
الخيارات:
أ) اذهب بعيداً
ب) تعال إلي
ج) ابقَ هنا
د) ساعدني
الإجابة الصحيحة: أ"
ارع,ارع او ارعى او راع ، في لهجة أهل تبوك تعني ؛ أنظر,Northern,"المهمة: حدد المنطقة التي تُستخدم فيها الكلمة 'ارع'.
السؤال: في أي منطقة سعودية تُستخدم الكلمة 'ارع' بشكل شائع؟
الخيارات:
أ) الرياض
ب) حائل
ج) تبوك
د) جدة
الإجابة الصحيحة: ج","المهمة: اشرح الفهم الثقافي لكلمة 'ارع'.
السؤال: كيف تعكس كلمة 'ارع' الثقافة المحلية لأهالي تبوك؟
الخيارات:
أ) تعكس عدم الاحترام
ب) تعكس الاهتمام والملاحظة
ج) تعكس العزلة
د) تعكس الفخر
الإجابة الصحيحة: ب","المهمة: اختر الاستخدام الصحيح للكلمة 'ارع'.
السؤال: عندما طلبت من صديقي أن يراقب السيارة، قلت له: '_____ السيارة.'
الخيارات:
أ) اذهب
ب) اجلس
ج) ارع
د) اجري
الإجابة الصحيحة: ج","المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: في لهجة أهل تبوك، كلمة 'ارع' تعني _____ .
الخيارات:
أ) اذهب
ب) انظر
ج) اجلس
د) اجري
الإجابة الصحيحة: ب","المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'ارع' تعني 'انظر' في لهجة أهل تبوك.
الخيارات:
أ) صحيح
ب) خاطئ
الإجابة الصحيحة: أ","المهمة: حدد المعنى الصحيح لكلمة 'ارع'.
السؤال: ما معنى كلمة 'ارع' في لهجة أهل تبوك؟
الخيارات:
أ) اذهب
ب) انظر
ج) اجلس
د) اجري
الإجابة الصحيحة: ب"
ارنعك,يعني اضربك بأي شيء عندي. وهي كلمة من الشمال,Northern,"المهمة: اختر الإجابة الصحيحة.
السؤال: أين تفيد عبارة ""ارنعك"" في الغالب؟
الخيارات: 
A) الغرب 
B) الجنوب 
C) الشمال 
D) الشرق
الإجابة الصحيحة: C","المهمة: وضح المعنى الثقافي للعبارة 'ارنعك'.
السؤال: كيف تعكس عبارة 'ارنعك' الثقافة المحلية؟
الخيارات:
أ) تعبر عن العنف والكراهية
ب) تعكس طبيعة صراخ الشباب
ج) تعبر عن تهديد غير جاد للأصدقاء
د) تمثل أسلوب الحياة السلمي
الإجابة الصحيحة: ج","المهمة: اختر الجملة المناسبة التي تعبر عن استخدام 'ارنعك'.
السؤال: ما هي الطريقة التي يمكن أن تستخدم بها عبارة 'ارنعك'؟
الخيارات:
أ) عند التهديد في نقاش
ب) عند التعزية
ج) في الحوارات الودية
د) عند تقديم المساعدة
الإجابة الصحيحة: أ","المهمة: اختر الإجابة الصحيحة.
السؤال: أريد أن أقول لأصدقائي أنني سأضربهم، لذلك سأقول """".
الخيارات: 
A) أحتضنك 
B) ارنعك 
C) أساعدكم 
D) أصرخ عليكم 
الإجابة الصحيحة: B (ارنعك)","المهمة: اختر الإجابة الصحيحة.
السؤال: عبارة ""ارنعك"" تعني ""أضربك بأي شيء عندي"" وهي مستخدمة في جميع مناطق السعودية. 
الخيارات: 
A) صحيح 
B) خطأ 
الإجابة الصحيحة: B (خطأ) 
التفسير: العبارة ""ارنعك"" هي كلمة من الشمال وليس مستخدمة في جميع مناطق السعودية.","المهمة: اختر الإجابة الصحيحة.
السؤال: ماذا تعني كلمة ""ارنعك"" في اللهجة السعودية؟
الخيارات: 
A) احتضنك 
B) اصرخ عليك 
C) اضربك بأي شيء عندي 
D) أساعدك 
الإجابة الصحيحة: C (اضربك بأي شيء عندي)"
ازحف وراك,يعني اذلف هناك يعني ابتعد قليلاً لكي اجلس يعني يعطيه مساحه بجنبه شوي عشان يجلس الاخ اللي يقول له ازحف ترا ازحف مثل اذلف مثل ماكنت اذلف تكون ازحف,General,"المهمة: حدد المكان الأكثر استخداماً لعبارة 'ازحف وراك'.
السؤال: أين يتم استخدام المصطلح 'ازحف وراك' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين
الإجابة الصحيحة: أ","المهمة: فسر كيفية استخدام العبارة من الناحية الثقافية.
السؤال: ما هي الدلالة الثقافية لقول 'ازحف وراك' في المجتمع السعودي؟
الخيارات:
أ) تعني الاحترام والتقدير
ب) تعني العنف والتهديد
ج) تعني الراحة والود
د) تعني الوقار والجدية
الإجابة الصحيحة: ج","المهمة: حدد الاستخدام المناسب لعبارة 'ازحف وراك'.
السؤال: في أي موقف يمكن استخدام عبارة 'ازحف وراك'؟
الخيارات:
أ) عند القتال
ب) عند تناول الطعام مع الأصدقاء
ج) عند الاعتراض في صف
د) عند التحدث مع الغرباء
الإجابة الصحيحة: ب","المهمة: املأ الفراغ في الجملة التالية.
السؤال: إذا قلت لشخص 'ازحف وراك'، فأنا أعني أن _____.
الخيارات:
أ) يجب أن يبتعد
ب) يجب أن يقرب
ج) يجب أن يجلس
د) يجب أن يذهب
الإجابة الصحيحة: أ","المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'ازحف وراك' تعني أن الشخص يجب أن يقترب.
الخيارات:
أ) صحيح
ب) خاطئ
الإجابة الصحيحة: ب","المهمة: حدد معنى العبارة 'ازحف وراك'.
السؤال: ما المقصود بعبارة 'ازحف وراك' في اللهجة السعودية؟
الخيارات:
أ) تعني ابتعد قليلاً
ب) تعني تعال هنا
ج) تعني اذهب بعيداً
د) تعني اجلس بجانبي
الإجابة الصحيحة: أ"
ازعق,تقال في الشرقية وبالأخص في الأحساء ومعناها ازعق له==نادي عليه==بالحجازية --ناديلو,Eastern ,"المهمة: حدد المكان الذي يكون فيه استخدام كلمة 'ازعق' شائعًا.
السؤال: في أي منطقة بالمملكة تُستخدم كلمة 'ازعق' بشكل رئيسي؟
الخيارات:
أ) الشرقية
ب) الرياض
ج) مكة
د) المدينة المنورة
الإجابة الصحيحة: أ","المهمة: حدد كيف تعكس كلمة 'ازعق' جوانب الثقافة المحلية.
السؤال: ماذا توحي كلمة 'ازعق' عن طرق التعبير في المجتمع؟
الخيارات:
أ) تدل على التواصل المفعم بالحيوية
ب) تعبر عن العزلة
ج) تشير إلى الحزن
د) تدل على السكون
الإجابة الصحيحة: أ","المهمة: اختر الجملة الصحيحة التي تستخدم فيها كلمة 'ازعق'.
السؤال: أي من الجمل التالية تستخدم كلمة 'ازعق' بشكل صحيح؟
الخيارات:
أ) ازعق حق محمد قول له ابوك يبغاك
ب) ازعق إلى المدرسة كل يوم
ج) ازعق في الحديقة
د) ازعق عندما أشعر بالسعادة
الإجابة الصحيحة: أ","المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: عندما تريد أن ___ أحداً، يمكنك أن تقول 'ازعق'.
الخيارات:
أ) تناقش
ب) تنادي
ج) تكتب
د) تلعب
الإجابة الصحيحة: ب","المهمة: حدد إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: تستخدم كلمة 'ازعق' في جميع مناطق المملكة.
الخيارات:
أ) صحيح
ب) خاطئ
الإجابة الصحيحة: ب","المهمة: اختر المعنى الصحيح للعبارة 'ازعق'.
السؤال: ما معنى كلمة 'ازعق'؟
الخيارات:
أ) نادي عليه
ب) اصرخ بشدة
ج) ابتسم له
د) اذهب بعيداً
الإجابة الصحيحة: أ"
ازهله,"""ازهله"": كلمة جزم تُقال عندما يُطلب من شخص أمر معين وتعني أن هذا الأمر قد تمّ لامحاله.",General,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح 'ازهله' بشكل أكثر شيوعاً.
السؤال: في أي دولة تُستخدم كلمة 'ازهله' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين
الإجابة الصحيحة: أ","المهمة: ماذا يعكس استخدام كلمة 'ازهله' في اللهجة السعودية؟
السؤال: ما الذي يعبّر عنه استخدام 'ازهله' في الثقافة السعودية؟
الخيارات:
أ) التأكيد على الاحترام
ب) تسهيل الأمور بشكل رسمي
ج) قبول الأمر دون تردد أو تأجيل
د) التهكم والسخرية
الإجابة الصحيحة: ج","المهمة: اختر الاستخدام الصحيح لكلمة 'ازهله' في الجملة.
السؤال: أي من الجمل التالية تُظهر السياق الصحيح لاستخدام كلمة 'ازهله'؟
الخيارات:
أ) الجو جميل اليوم
ب) سمعت أنك ستقيم حفلة، ازهله!
ج) لا أريد الذهاب اليوم
د) كيف حالك؟
الإجابة الصحيحة: ب","المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: عندما طلبت من محمد أن يحضر لي الكتاب، أجابني _____.
الخيارات:
أ) ازهله
ب) لا أستطيع
ج) غداً
د) لا يوجد
الإجابة الصحيحة: أ","المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'ازهله' تُستخدم في السياقات غير الرسمية فقط.
الخيارات:
أ) صحيحة
ب) خاطئة
الإجابة الصحيحة: ب","المهمة: اختر المعنى الصحيح لكلمة 'ازهله'.
السؤال: ماذا تعني كلمة 'ازهله'؟
الخيارات:
أ) كلمة تدل على التأجيل
ب) كلمة تعني أنه تم الأمر لامحالة
ج) كلمة تدل على عدم الرغبة
د) كلمة تعني الاستسلام
الإجابة الصحيحة: ب"
اش بك يواد,ماذا بك ايها الفتى,Western,"المهمة: حدد المنطقة التي تُستخدم فيها العبارة 'اش بك يواد' بشكل شائع.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'اش بك يواد' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) أبها
د) الدمام
الإجابة الصحيحة: ب","المهمة: فسر العبارة في السياق الثقافي.
السؤال: ماذا تعكس عبارة 'اش بك يواد' عن الثقافة السعودية؟
الخيارات:
أ) تعبر عن التواصل الودي بين الأصدقاء
ب) تعكس الجفاف في العلاقات
ج) تظهر التحفظ في الحديث
د) تدل على الابتعاد عن الآخرين
الإجابة الصحيحة: أ","المهمة: اختر السياق الأنسب لاستخدام العبارة 'اش بك يواد'.
السؤال: في أي موقف قد تستخدم عبارة 'اش بك يواد'؟
الخيارات:
أ) عندما تسأل عن حالة صديقك
ب) عندما تسأل عن الاتجاهات
ج) عندما تحاول شراء شيء
د) عندما تتحدث عن الطقس
الإجابة الصحيحة: أ","المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عبارة 'اش بك يواد' تستخدم للسؤال عن __________.
الخيارات:
أ) المال
ب) الصحة
ج) الحالة
د) الوقت
الإجابة الصحيحة: ب","المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'اش بك يواد' تعني 'لماذا تحزن'.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة: ب","المهمة: حدد المعنى الصحيح للعبارة 'اش بك يواد'.
السؤال: ما معنى عبارة 'اش بك يواد'؟
الخيارات:
أ) ماذا بك أيها الفتى
ب) كيف حالك يا رجل
ج) أين أنت الآن
د) لماذا تحزن
الإجابة الصحيحة: أ"
اش قومك,معناها باختصار وش فيك,General,"المهمة: حدد المنطقة التي تستخدم فيها عبارة 'اش قومك' بشكل رئيسي.
السؤال: في أي دولة يُستخدم المصطلح 'اش قومك' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين
الإجابة الصحيحة: أ","المهمة: اختر التفسير الصحيح للعبارة 'اش قومك' في الثقافة السعودية.
السؤال: لماذا يُستخدم مصطلح 'اش قومك' في المحادثات بين السعوديين؟
الخيارات:
أ) للتعبير عن القلق
ب) للسؤال عن الأخبار والعافية
ج) لتأكيد النسيان
د) للاحتفال بالمناسبات
الإجابة الصحيحة: ب","المهمة: اختر الاستخدام الصحيح للعبارة 'اش قومك' في السياق.
السؤال: أي من الجمل التالية يستخدم فيها 'اش قومك' بشكل صحيح؟
الخيارات:
أ) اش قومك تفكر في الذهاب للرحلة؟
ب) اش قومك تدق عليه؟
ج) اش قومك جائع؟
د) اش قومك يتحدث؟
الإجابة الصحيحة: ب","### نوع السؤال: املأ الفراغ 
- المهمة: اختر الإجابة الصحيحة فقط دون أية ملاحظات. 
- السؤال: ""اش قومك"" تعني . 
- الخيارات: 
 A) لماذا أنت غاضب؟ 
 B) ماذا بك؟ 
 C) ماذا تفعل؟ 
 D) كيف يمكنني مساعدتك؟ 
- الإجابة الصحيحة: B (ماذا بك؟)","### نوع السؤال: صحيح/خطأ 
- المهمة: اختر الإجابة الصحيحة فقط دون أية ملاحظات. 
- السؤال: عبارة ""اش قومك"" تُستخدم للسؤال عن حالة الشخص. 
- الخيارات: 
 A) صحيح 
 B) خطأ 
- الإجابة الصحيحة: A (صحيح) 
- التفسير: العبارة تعني ""ماذا بك؟"" وتستخدم للاستفسار عن حالة الشخص.","### نوع السؤال: معنى 
- المهمة: اختر الإجابة الصحيحة فقط دون أية ملاحظات. 
- السؤال: ما معنى عبارة ""اش قومك""؟ 
- الخيارات: 
 A) ماذا بك؟ 
 B) كيف حالك؟ 
 C) لماذا تأخرت؟ 
 D) أين ذهبت؟ 
- الإجابة الصحيحة: A (ماذا بك؟)"
اشبك,اشبك تعني ماذا بك,Western,"المهمة: حدد المنطقة الأكثر استخدامًا لكلمة 'اشبك'.
السؤال: في أي منطقة سعودية يستخدم المصطلح 'اشبك' بشكل رئيسي؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) المدينة المنورة
الإجابة الصحيحة: أ","المهمة: اشرح المعنى الثقافي لكلمة 'اشبك'.
السؤال: ما الذي يمكن أن تعكسه كلمة 'اشبك' في الثقافة السعودية؟
الخيارات:
أ) تعبر عن الاستفسار عن حالة الشخص
ب) تعبر عن التحية
ج) تعبر عن الدعوة إلى الطعام
د) تعبر عن الشكر
الإجابة الصحيحة: أ","المهمة: حدد السياق المناسب لاستخدام كلمة 'اشبك'.
السؤال: في أي حالة يمكن أن تقول 'اشبك' لشخص ما؟
الخيارات:
أ) عندما تسأله عن مشاعره
ب) عند التعريف بنفسك
ج) عند شكره
د) عند الخروج من المنزل
الإجابة الصحيحة: أ","المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إذا قال لك شخص 'اشبك'، فإنه يعني ______.
الخيارات:
أ) ماذا بك
ب) أين أنت
ج) ما اسمك
د) شكرا لك
الإجابة الصحيحة: أ","المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'اشبك' تعني 'كيف حالك'.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة: ب","المهمة: حدد المعنى الصحيح لكلمة 'اشبك'.
السؤال: ما معنى كلمة 'اشبك'؟
الخيارات:
أ) ماذا بك
ب) كيف حالك
ج) أين أنت
د) ما اسمك
الإجابة الصحيحة: أ"
اشبك البلا فشكلك,ماذا بك اصابك البلاء,Western,"المهمة: حدد أين يُستخدم التعبير بشكل شائع.
السؤال: في أي منطقة سعودية يُستخدم التعبير 'اشبك البلا فشكلك' بشكل أكبر؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) مكة
الإجابة الصحيحة: أ","المهمة: فسر كيف يعكس التعبير ثقافة المجتمع السعودي.
السؤال: ما الذي يعكسه تعبير 'اشبك البلا فشكلك' عن الثقافة السعودية؟
الخيارات:
أ) قلة الاهتمام بالمظهر
ب) استخدام الألفاظ الصعبة
ج) عادتهم في الاستفسار عن المشاكل
د) تفضيل الصمت في المحادثات
الإجابة الصحيحة: ج","المهمة: اختر السياق المناسب لاستخدام التعبير.
السؤال: في أي حالة يُستخدم التعبير 'اشبك البلا فشكلك'؟
الخيارات:
أ) في محادثة عادية مع الأصدقاء
ب) أثناء مناقشة علمية
ج) أثناء العمل
د) في الشارع أثناء القيادة
الإجابة الصحيحة: أ","المهمة: أكمل التعبير بالنص المناسب.
السؤال: التعبير يعني ____.
الخيارات:
أ) لديك مشكلة
ب) لديك جمال
ج) أنت محظوظ
د) الهواء نقي
الإجابة الصحيحة: أ","المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: التعبير 'اشبك البلا فشكلك' يعني أنك جميل.
الخيارات:
أ) صحيح
ب) خاطئ
الإجابة الصحيحة: ب","المهمة: حدد المعنى الصحيح للتعبير.
السؤال: ماذا يعني التعبير 'اشبك البلا فشكلك'؟
الخيارات:
أ) لدي طعام إضافي
ب) ماذا بك، أصابك البلاء؟
ج) لديك مظهر جميل
د) أبشر بالسعادة
الإجابة الصحيحة: ب"
